Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0603_1608Metric,140.7,-115.7,180.0,bottom
C10,10p,C_0402_1005Metric,110.5,-101.7,90.0,bottom
C11,u1,C_0402_1005Metric,179.8,-145.62,270.0,bottom
C12,4u7	,C_0402_1005Metric,167.85,-96.85,0.0,bottom
C13,4u7	,C_0402_1005Metric,167.85,-95.9,0.0,bottom
C14,4u7	,C_0402_1005Metric,177.0,-99.25,270.0,bottom
C15,4u7	,C_0402_1005Metric,175.7,-95.2,180.0,bottom
C16,1u,C_0402_1005Metric,185.5,-92.05,180.0,bottom
C17,1u,C_0402_1005Metric,185.5,-93.0,180.0,bottom
C18,220u,CP_Elec_6.3x5.4,182.8,-98.85,180.0,bottom
C19,220u,CP_Elec_6.3x5.4,182.8,-105.95,180.0,bottom
C2,u1,C_0402_1005Metric,146.9,-147.9,270.0,bottom
C20,1u,C_0402_1005Metric,183.45,-116.575,0.0,bottom
C21,4u7	,C_0402_1005Metric,176.45,-96.15,180.0,bottom
C22,4u7	,C_0402_1005Metric,176.0,-99.6,90.0,bottom
C23,1u,C_0402_1005Metric,174.7,-101.0,0.0,bottom
C24,1u,C_0402_1005Metric,173.9,-91.375,270.0,bottom
C25,1u,C_0402_1005Metric,172.1,-91.375,270.0,bottom
C26,u1,C_0402_1005Metric,138.0,-133.0,270.0,bottom
C27,u1,C_0402_1005Metric,144.95,-113.95,270.0,bottom
C28,22u,C_0603_1608Metric,134.6,-108.6,270.0,bottom
C29,22u,C_0603_1608Metric,120.3,-120.4,270.0,bottom
C3,u1,C_0402_1005Metric,187.8,-138.5,90.0,bottom
C30,22u,C_0603_1608Metric,133.1,-108.6,270.0,bottom
C31,22u,C_0603_1608Metric,131.6,-108.6,270.0,bottom
C32,u1,C_0402_1005Metric,125.45,-89.95,0.0,bottom
C33,u1,C_0402_1005Metric,132.4,-80.6,180.0,bottom
C34,u1,C_0402_1005Metric,133.8,-80.9,90.0,bottom
C35,u1,C_0402_1005Metric,124.6,-81.9,90.0,bottom
C36,4u7,C_0402_1005Metric,125.45,-90.9,0.0,bottom
C37,1u,C_0402_1005Metric,127.85,-90.9,0.0,bottom
C38,10n/35V,C_0402_1005Metric,113.2,-89.3,90.0,bottom
C4,10u,C_0603_1608Metric,137.7,-115.7,180.0,bottom
C40,u1,C_0402_1005Metric,170.0,-118.6,0.0,bottom
C41,4u7,C_0402_1005Metric,132.4,-72.9,270.0,bottom
C42,1u,C_0402_1005Metric,133.4,-72.9,90.0,bottom
C43,4u7,C_0402_1005Metric,132.4,-75.9,90.0,bottom
C44,1u,C_0402_1005Metric,133.4,-75.9,270.0,bottom
C45,u1,C_0402_1005Metric,152.2,-91.2,0.0,bottom
C46,u1,C_0402_1005Metric,145.1,-91.2,0.0,bottom
C47,u1,C_0402_1005Metric,137.85,-91.2,0.0,bottom
C48,u1,C_0402_1005Metric,157.55,-91.2,180.0,bottom
C49,u1,C_0402_1005Metric,127.85,-89.95,0.0,bottom
C5,u1,C_0402_1005Metric,168.2,-142.5,90.0,bottom
C50,15p,C_0402_1005Metric,140.05,-84.6,270.0,bottom
C51,u1/16V,C_0402_1005Metric,112.2,-88.1,90.0,bottom
C52,u1,C_0402_1005Metric,168.55,-89.7,0.0,bottom
C53,u1,C_0402_1005Metric,170.7,-145.22,270.0,bottom
C54,u1,C_0402_1005Metric,120.95,-98.75,0.0,bottom
C55,u1,C_0402_1005Metric,120.95,-100.7,0.0,bottom
C56,22u,C_0603_1608Metric,117.8,-144.2,0.0,bottom
C57,u1,C_0402_1005Metric,117.6,-148.5,90.0,bottom
C58,u1,C_0402_1005Metric,128.4,-100.7,0.0,bottom
C59,1u,C_0402_1005Metric,168.6,-58.4,0.0,bottom
C6,22u,C_0603_1608Metric,145.6,-148.3,270.0,bottom
C60,u1,C_0402_1005Metric,171.2,-75.3,0.0,bottom
C61,15p,C_0402_1005Metric,137.3,-82.4,0.0,bottom
C7,22u,C_0603_1608Metric,121.9,-120.4,270.0,bottom
C79,u1/35V,C_0603_1608Metric,121.5,-62.6,0.0,bottom
C8,10p,C_0402_1005Metric,110.2,-95.5,180.0,bottom
C80,10u/35V,C_1206_3216Metric,122.3,-64.5,0.0,bottom
C81,u1/16V,C_0402_1005Metric,124.3,-57.3,270.0,bottom
C82,56p,C_0402_1005Metric,115.1,-56.825,0.0,bottom
C83,22u,C_0603_1608Metric,112.5,-67.6,0.0,bottom
C84,22u,C_0603_1608Metric,112.475,-69.1,0.0,bottom
C9,10p,C_0402_1005Metric,110.5,-98.0,90.0,bottom
D13,1N4007,D_SOD-123,179.1,-83.4,270.0,bottom
